LON,LAT,EDO,CLAVE,ESTACION,sep-24
-99.066667,19.466667,DF,SJADF,"San Juan de Aragón, Cd. de Méx.",138.57
-99.176389,19.206389,DF,SMTOPILEJO,"San Miguel Topilejo, Cd. de Méx. SACMéx.",204.5
-99.17,19.262778,DF,SPEDROMARTIR,"San Pedro Mártir, Cd. de Méx. SACMéx.",235.84
-99.009722,19.281389,DF,SPPDF,"San Pedro Tláhuac, Cd. de Méx.",119.93
-98.960556,19.320833,DF,SSCDF,"La Caldera Subestación eléctrica Santa Lucía, Méx.",0.0
-99.1425,19.556111,DF,TCMDF,"Tanque Chalmita, Cd. de Méx.",207.39
-99.272222,19.373056,DF,TECDF,"Tanque el Cartero, Cd. de Méx.",315.95
-99.246389,19.333889,DF,TELDF,"Tanque el Lienzo, Cd. de Méx.",220.72
-99.000556,19.275,DF,TEQUESQUITE,"San José Tlahuac RB Tequesquite, Cd. de Méx. SACMéx.",0.0
-99.098889,19.385556,DF,TEZDF,"Tezontle, Cd. de Méx. SMN*",101.86
-99.211667,19.399167,DF,TNGDF,"Triángulo, Cd. de Méx.",221.48
-99.135833,19.199444,DF,TPJDF,"Topilejo, Cd. de Méx.",244.87
-99.084722,19.440833,DF,TPNDF,"Tanque Peñón, Cd. de Méx.",140.06
-99.2125,19.361944,DF,TRGDF,"Tarango, Cd. de Méx.",231.25
-99.248611,19.316667,DF,TSFDF,"Tanque San Francisco, Cd. de Méx.",239.35
-99.228611,19.436389,DF,TSJDF,"Tanque San Joaquín, Cd. de Méx.",211.27
-99.264444,19.359722,DF,TSLDF,"Santa Fe (Santa Lucía), Cd. de Méx.",374.07
-99.245833,19.274167,DF,ZACATON,"Zacatón, Cd. de Méx. SACMéx.",281.75
